Timestamp,RFID Tag,Antenna,Time Between Stamps
2024-05-30 15:42:04,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:42:06,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:12,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:42:14,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:42:20,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:42:22,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:28,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:42:30,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:36,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:42:38,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:42:44,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:42:46,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:42:52,E200 1AC1 9627 E100 1039 0F83,0,6.007
2024-05-30 15:42:54,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:00,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:43:02,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:43:08,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:43:10,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:16,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:43:18,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:24,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:43:26,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:32,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:43:34,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:43:40,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:43:42,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:50,E200 1AC1 9627 E100 1039 0F83,0,8.006
2024-05-30 15:43:52,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:43:58,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:44:00,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:44:06,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:08,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:44:14,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:16,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:44:22,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:44:24,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:44:30,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:32,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:44:38,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:40,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:44:46,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:48,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:44:54,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:44:56,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:02,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:45:04,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:45:10,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:45:12,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:18,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:45:20,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:26,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:45:28,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:34,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:45:36,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:42,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:45:44,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:45:50,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:45:52,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:45:58,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:46:00,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:08,E200 1AC1 9627 E100 1039 0F83,0,8.006
2024-05-30 15:46:10,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:16,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:46:18,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:24,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:46:26,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:32,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:46:34,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:40,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:46:42,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:48,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:46:50,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:46:56,E200 1AC1 9627 E100 1039 0F83,0,6.007
2024-05-30 15:46:58,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:47:04,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:47:06,E200 1AC1 9627 E100 1039 0F83,0,2.001
2024-05-30 15:47:12,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:47:14,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:47:20,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:47:22,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:47:28,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:47:30,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:47:36,E200 1AC1 9627 E100 1039 0F83,0,6.003
2024-05-30 15:47:38,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:47:44,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:47:46,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:47:52,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:47:54,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:48:00,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:48:02,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:48:08,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:48:10,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:48:16,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:48:18,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:48:26,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:48:28,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:48:34,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:48:36,E200 1AC1 9627 E100 1039 0F83,0,2.001
2024-05-30 15:48:42,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:48:44,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:48:50,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:48:52,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:48:58,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:00,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:06,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:08,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:14,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:16,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:22,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:49:24,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:30,E200 1AC1 9627 E100 1039 0F83,0,6.009
2024-05-30 15:49:32,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:38,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:40,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:46,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:48,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:49:54,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:49:56,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:02,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:50:04,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:10,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:50:12,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:18,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:50:20,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:26,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:50:28,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:34,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:50:36,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:50:44,E200 1AC1 9627 E100 1039 0F83,0,8.006
2024-05-30 15:50:46,E200 1AC1 9627 E100 1039 0F83,0,2.003
